identifier,govIdentifier,RWStype,URL,name,description,siteAddressName,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,openingHoursNotes,openingHoursTransportRestrictions,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,proofOfResidency,accessibilityNotes,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo
,,tb,,Cabin Lane,,Co-op Food,1 Cabin Lane,Oswestry,Shropshire,eng,SY11 2DZ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Caledonian Road,,Co-op Food,303-311 Caledonian Road,London,Greater London,eng,N1 1DT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Camberley - Frimley Road,,Co-op Food,Frimley Road,Camberley,Surrey,eng,GU15 2QN,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Camberwell New Road,,Co-op Food,177-183 Camberwell New Road,London,Greater London,eng,SE5 0TJ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cambridge,,Co-op Food,2 Brookgate,Cambridge,Cambridgeshire,eng,CB1 2FF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cambridge - Green End Road,,Co-op Food,414 Milton Road,Cambridge,Cambridgeshire,eng,CB4 1SU,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cambridge - Mill Road West,,Co-op Food,44a Mill Road,Cambridge,Cambridgeshire,eng,CB1 2AS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cambridge - Mitcham’s Corner,,Co-op Food,Milton Road,Cambridge,Cambridgeshire,eng,CB4 1UY,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cambridge - Perne Road,,Co-op Food,115 - 117 Perne Road,Cambridge,Cambridgeshire,eng,CB1 3SB,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cambridge - The Marque,,Co-op Food,Hills Road,Cambridge,Cambridgeshire,eng,CB2 8RJ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cambridge Road - Churchtown,,Co-op Food,142 Cambridge Road,Southport,Merseyside,eng,PR9 9RZ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Camden - Camley Street,,Co-op Food,Unit 1 103a Camley Street,London,Greater London,eng,N1C 4PF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Camden - Chalk Farm Station,,Co-op Food,8 Haverstock Hill,London,Greater London,eng,NW3 2BL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Camden - North Road,,Co-op Food,24 North Road,London,Greater London,eng,N7 9GF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Camden Parkway,,Co-op Food,73-74 Parkway,London,Greater London,eng,NW1 7AH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cannock - Longford Road,,Co-op Food,Longford Road,Cannock,Staffordshire,eng,WS11 1NE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cantley Lane - Doncaster,,Co-op Food,Goodison Boulevard,Doncaster,South Yorkshire,eng,DN4 6BT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Canvey Island - Canvey Road,,Co-op Food,Canvey Road,Canvey Island,Essex,eng,SS8 0QA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Carlton Parade,,Co-op Food,13-14 Carlton Parade,Orpington,Kent,eng,BR6 0JB,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Carrington,,Co-op Food,365 Mansfield Road,Nottingham,Nottinghamshire,eng,NG5 2DA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Carshalton Beeches,,Co-op Food,89-91 Banstead Road,Carshalton,Surrey,eng,SM5 3NP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Castle Road,,Co-op Food,74 Castle Road,Salisbury,Wiltshire,eng,SP1 3RR,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Catshill - Gibbs Lane,,Co-op Food,30 Gibbs Lane,Bromsgrove,Worcestershire,eng,B61 0JR,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Catterall - Garstang Road,,Co-op Food,Westfield Road,Preston,Lancashire,eng,PR3 0EN,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Chalfont St Giles,,Co-op Food,12 High Street,Chalfont St. Giles,Buckinghamshire,eng,HP8 4QA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cheadle Hulme - Turves Road,,Co-op Food,136B & 136C Turves Road,Cheadle,Cheshire,eng,SK8 6AW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Chester - Christleton Road,,Co-op Food,142 Christleton Road,Chester,Cheshire,eng,CH3 5TD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Chesterfield - Ashgate Road,,Co-op Food,240 Ashgate Road,Chesterfield,Derbyshire,eng,S40 4AW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Chesterfield - Spital Lane,,Co-op Food,Spital Lane,Chesterfield,Derbyshire,eng,S41 0HL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Chichester - East Street,,Co-op Food,52 East Street,Chichester,West Sussex,eng,PO19 1JG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Childs Hill - Finchley Road,,Co-op Food,713 Finchley Road,Brent,London,eng,NW11 8AT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Chiswick - Station Parade,,Co-op Food,6 Station Parade,London,Greater London,eng,W4 3HD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Chorley Old Road - Whittle Le Woods,,Co-op Food,144 Chorley Old Road,Chorley,Lancashire,eng,PR6 7LR,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Chorlton - Beech Road,,Co-op Food,129 Beech Road,Manchester,Greater Manchester,eng,M21 9EQ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Church Lane,,Co-op Food,136-138 Church Lane,Waltham Cross,Hertfordshire,eng,EN8 0EA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Church Street - Orrell,,Co-op Food,40 Church Street,Wigan,Lancashire,eng,WN5 8TG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Clapham - Abbeville Road,,Co-op Food,56-58 Abbeville Road,London,Greater London,eng,SW4 9NF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Clapton - Chatsworth Road,,Co-op Food,21-23 Chatsworth Road,London,Greater London,eng,E5 0LH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Clarence Road - Sutton Coldfield,,Co-op Food,316 Clarence Road,Sutton Coldfield,West Midlands,eng,B74 4LU,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Clayton - Clayton Road,,Co-op Food,93 Clayton Road,Newcastle-Under-Lyme,Staffordshire,eng,ST5 3NE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Coastal House,,Co-op Food,9 Abingdon Street,Blackpool,Lancashire,eng,FY1 1DG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Colehill,,Co-op Food,1 Smugglers Lane,Wimborne,Dorset,eng,BH21 2RX,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Colindale Station,,Co-op Food,130 Colindale Avenue,London,Greater London,eng,NW9 5HE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Colliers Wood Station,,Co-op Food,Units 5 and 11 Christchurch Road,London,Greater London,eng,SW19 2FA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Colney Road,,Co-op Food,76 Colney Road,Dartford,Kent,eng,DA1 1UH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Coppenhall,,Co-op Food,"Unit 1, Parkers Road",Crewe,Cheshire,eng,CW1 4PY,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Corbridge - Hill Street,,Co-op Food,4-6 Hill Street,Corbridge,Northumberland,eng,NE45 5AA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Corfe Mullen - Towers Way,,Co-op Food,46 Wareham Road,Wimborne,Dorset,eng,BH21 3LE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cornbrook Hub,,Co-op Food,254 Chester Road,Manchester,Greater Manchester,eng,M15 4EX,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cornwall Services,,Co-op Food,Victoria Roche,St Austell,Cornwall,eng,PL26 8UF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Costessey - Kestral Avenue,,Co-op Food,Unit 1 Kestral Avenue,Norwich,Norfolk,eng,NR8 5AZ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cotswold Road,,Co-op Food,47 Cotswold Road,Warrington,Cheshire,eng,WA2 9SF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cove - Fernhill Road,,Co-op Food,318-320 Fernhill Road,Farnborough,Hampshire,eng,GU14 9EF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Coventry - Fairfax Street,,Co-op Food,Fairfax Street,Coventry,West Midlands,eng,CV1 5RY,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cowfold - The Street,,Co-op Food,The Street,Horsham,West Sussex,eng,RH13 8BT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cowley - Littlemore Road,,Co-op Food,27 Littlemore Road,Oxford,Oxfordshire,eng,OX4 3SS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Creekmoor,,Co-op Food,67 Creekmoor Lane,Poole,Dorset,eng,BH17 7BW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Crewe - Remer Street,,Co-op Food,1C Remer Street,Crewe,Cheshire,eng,CW1 4LS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cricklewood - Cricklewood Broadway,,Co-op Food,22-26 Cricklewood Broadway,London,Greater London,eng,NW2 3HD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cricklewood Lane - Cricklewood,,Co-op Food,140 Cricklewood Lane,London,Greater London,eng,NW2 2DT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Crofton Park,,Co-op Food,383 Brockley Road,London,Greater London,eng,SE4 2PH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cropwell Bishop - Nottingham Road,,Co-op Food,4 Nottingham Road,Nottingham,Nottinghamshire,eng,NG12 3BQ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Crosland Moor,,Co-op Food,9 Park Road West,Huddersfield,West Yorkshire,eng,HD4 5RX,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cross Hills,,Co-op Food,14 Main Street,Keighley,West Yorkshire,eng,BD20 8TB,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cross Lane,,Co-op Food,10-12 Cross Lane,Wirral,Merseyside,eng,CH63 3AL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cross Street - Sale,,Co-op Food,137 - 149 Cross Street,Sale,Cheshire,eng,M33 7JW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Crouch End - The Broadway,,Co-op Food,21-23 The Broadway,London,Greater London,eng,N8 8DU,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Crow Lane,,Co-op Food,149 Crow Lane,Bristol,Avon,eng,BS10 7DR,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Croydon - Lansdowne Road,,Co-op Food,6/6A Lansdowne Road,Croydon,Surrey,eng,CR0 2BX,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Cuxton,,Co-op Food,93 Bush Road,Rochester,Kent,eng,ME2 1EY,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Dalston Square - London,,Co-op Food,Dalston Square,London,Greater London,eng,E8 3FT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Denton Street,,Co-op Food,Denton Street,Carlisle,Cumbria,eng,CA2 5EN,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Derbyshire Lane,,Co-op Food,229 Derbyshire Lane,Sheffield,South Yorkshire,eng,S8 8SD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Dickens Estate,,Co-op Food,Dickens Estate,Rochester,Kent,eng,ME1 2LQ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Didcot,,Co-op Food,202 Broadway,Didcot,Oxfordshire,eng,OX11 8RN,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Didsbury,,Co-op Food,756-758 Wilmslow Road,Manchester,Greater Manchester,eng,M20 2DW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Dines Green,,Co-op Food,53 Gresham Road,Worcester,Worcestershire,eng,WR2 5QS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Ditton,,Co-op Food,231 Liverpool Road,Widnes,Cheshire,eng,WA8 7HL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Dorchester,,Co-op Food,Trinity Square,Dorchester,Dorset,eng,DT1 1TT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Dore Devenshire Terr,,Co-op Food,Devonshire Terrace Road,Sheffield,South Yorkshire,eng,S17 3EF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Dover House - Lower Marsh,,Co-op Food,1 Lower Marsh,London,Greater London,eng,SE1 7NT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Duke Street - Devonport,,Co-op Food,8 George Street,Plymouth,Devon,eng,PL1 4HN,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Dulwich,,Co-op Food,26 Forest Hill Road,London,Greater London,eng,SE22 0RR,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Dunstable - Katherine Drive,,Co-op Food,37-43 Katherine Drive,Dunstable,Bedfordshire,eng,LU5 4NP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Durham - Framwellgate Moor,,Co-op Food,Dryburn View,Durham,County Durham,eng,DH1 5AP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Durham Road - Bowburn,,Co-op Food,Durham Road,Durham,County Durham,eng,DH6 5AT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Durnsford Road - Wimbledon Park,,Co-op Food,23 Durnsford Road,London,Greater London,eng,SW19 8GT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Eaglescliffe,,Co-op Food,1 Sunningdale Drive,Stockton-On-Tees,Cleveland,eng,TS16 9JP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Easingwold,,Co-op Food,Market Place,York,North Yorkshire,eng,YO61 3AG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,East Barnet - East Barnet Road,,Co-op Food,233 East Barnet Road,Barnet,Hertfordshire,eng,EN4 8SS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Ebbsfleet - Castle Hill,,Co-op Food,73-77 Cherry Orchard,Ebbsfleet,Kent,eng,DA10 0DF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Ebbsfleet - Southfleet Road,,Co-op Food,2-4 Talbot Lane,Swanscombe,Kent,eng,DA10 1AZ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Edgbaston - Wheeleys Road,,Co-op Food,Wheeleys Road,Birmingham,West Midlands,eng,B15 2LJ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Edgeley,,Co-op Food,84 Castle Street,Stockport,Cheshire,eng,SK3 9AL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Edgware - Hale Lane,,Co-op Food,157-161 Hale Lane,London,Greater London,eng,HA8 9QW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Elworth - Lawton Way,,Co-op Food,Lawton Way,Sandbach,Cheshire,eng,CW11 1TF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Emerson Valley,,Co-op Food,24 Winfold Lane,Milton Keynes,Buckinghamshire,eng,MK4 2SH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Endon - Leek Road,,Co-op Food,138-140 Leek Road,Stoke-On-Trent,Staffordshire,eng,ST9 9EW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Epsom,,Co-op Food,9 Upper High Street,Epsom,Surrey,eng,KT17 4QY,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Erleigh Road,,Co-op Food,55-57 Erleigh Road,Reading,Berkshire,eng,RG1 5NL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Ewell - Chessington Road,,Co-op Food,82-84 Chessington Road,Ewell,Surrey,eng,KT19 9GG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Exeter - Belgrave Road,,Co-op Food,Unit 3-3a Belgrave Road,Exeter,Devon,eng,EX1 2LB,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Exeter - Queen Street,,Co-op Food,37-39 Queen Street,Exeter,Devon,eng,EX4 3SR,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Exeter - West Clyst,,Co-op Food,Coaker Road,Exeter,Devon,eng,EX1 3TG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Falmouth - Cliff Road,,Co-op Food,Cliff Road,Falmouth,Cornwall,eng,TR11 4NP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Farnborough Park,,Co-op Food,36-40A Woburn Avenue,Farnborough,Hampshire,eng,GU14 7EF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Farringdon - Turnmill Street,,Co-op Food,94-98 Turnmill Street,London,Greater London,eng,EC1M 5QP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fenchurch Street - London,,Co-op Food,94-95 Fenchurch Street,London,Greater London,eng,EC3A 2DB,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Finedon,,Co-op Food,10 Wellingborough Road,Wellingborough,Northamptonshire,eng,NN9 5JS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Finsbury - Tysoe Street,,Co-op Food,1-7 Tysoe Street,London,Greater London,eng,EC1R 4SA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Finstock,,Co-op Food,Finstock Avenue,Stoke-On-Trent,Staffordshire,eng,ST3 3JS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fir Tree Lane,,Co-op Food,4 Fir Tree Lane,Dukinfield,Cheshire,eng,SK16 5FW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fishburn,,Co-op Food,10 Butterwick Road,Stockton-On-Tees,Cleveland,eng,TS21 4AP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fishermead,,Co-op Food,69 Fishermead Boulevard,Milton Keynes,Buckinghamshire,eng,MK6 2AD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fleet,,Co-op Food,20 Kings Road,Fleet,Hampshire,eng,GU51 3ST,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fleetwood Road North,,Co-op Food,2 Poachers Way,Thornton Cleveleys,Lancashire,eng,FY5 2WF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Flitch Green - Hallett Road,,Co-op Food,24 Hallett Road,Dunmow,Essex,eng,CM6 3FY,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Florence Park,,Co-op Food,Belgrave Road,Stoke-On-Trent,Staffordshire,eng,ST3 4NW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Forest Hill - Stanstead Road,,Co-op Food,107-113 Stanstead Road,London,Greater London,eng,SE23 1HH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Forest Town,,Co-op Food,1 Main Avenue,"Forest Town, Mansfield",Nottinghamshire,eng,NG19 0BS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Formby - Queens Road,,Co-op Food,37-39 Queens Road,Liverpool,Merseyside,eng,L37 2HG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fortess Road,,Co-op Food,9 Fortess Road,London,Greater London,eng,NW5 1AS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Foxholes,,Co-op Food,Foxhole Road,Paignton,Devon,eng,TQ3 3SS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fulham - Lillie Road,,Co-op Food,314 Lillie Road,London,Greater London,eng,SW6 7PS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fulham - Munster Road,,Co-op Food,227-233 Munster Road,London,Greater London,eng,SW6 6BT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Fulham - North End Road,,Co-op Food,254 North End Road,London,Greater London,eng,SW6 1NJ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Gidea Park - Brentwood Road,,Co-op Food,378 - 392 Brentwood Road,Romford,Essex,eng,RM2 5TD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Golcar,,Co-op Food,119 Town End,Huddersfield,West Yorkshire,eng,HD7 4QA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Goodison Boulevard,,Co-op Food,Goodison Boulevard,Doncaster,South Yorkshire,eng,DN4 6NL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Gravesend - East Milton Road,,Co-op Food,1-2 East Milton Road,Gravesend,Kent,eng,DA12 2JL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Greasbrough,,Co-op Food,1 Fenton Road,Rotherham,South Yorkshire,eng,S61 4RD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Great Ayton,,Co-op Food,117 High Street,Middlesbrough,Cleveland,eng,TS9 6BW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Great Lumley - 1 & 2 Front Street,,Co-op Food,Front Street,Chester Le Street,County Durham,eng,DH3 4JB,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Green Quarter - Cypress Place,,Co-op Food,Unit 2 Cypress Place,Manchester,Greater Manchester,eng,M4 4EX,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Greenford - Greenford Green,,Co-op Food,Oldfield Lane North,Greenford,Greater London,eng,UB6 0HE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Greenwich - Banning Street,,Co-op Food,51 Banning Street,London,Greater London,eng,SE10 0FE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Greenwich - Millennium Village,,Co-op Food,Greenwich,London,Greater London,eng,SE10 0BG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Greenwood Avenue - Hull,,Co-op Food,Greenwood Avenue,Hull,East Riding of Yorkshire,eng,HU6 9NA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
